X         Y  city_id
13.5747   37.3123         1
13.3524   38.1112        66
14.0632   37.4899        20
14.2807   37.5668        32
14.7213    36.922        78
15.2907   37.0646        91
15.0874   37.5024        24
15.6398   38.1035        80
15.5542   38.1938        56
15.3106   40.4194        86
15.1406   40.9965         8
15.4529   41.5028        36
16.1466   41.1802        10
16.862   41.1258         9
16.4736   40.4476        55
17.0806   40.5488        93
17.6884   40.6359        18
18.2261   40.1522        47
16.8783   39.1874        30
16.4316     38.83        25
16.0987   38.6267       108
16.3331   39.5967        28
15.8216   40.5173        76
14.8262   41.7173        21
14.7057   41.2476        12
14.2488   40.8359        60
14.1169   41.2035        23
13.5758   41.6285        38
14.2081   41.6495        43
14.4159   42.1027        26
13.9576   42.3103        71
13.6103   42.1369        45
13.6979   42.6581        94
13.5396   42.8834         6
13.6388   43.0922        33
13.2188   43.4801         3
12.7014   43.6941        70
13.1509    43.153        52
12.8859   42.4147        82
11.9488    42.493       110
9.50674   40.9253        63
8.92197   40.7778        88
8.67964   40.0266        64
8.76505   39.4937        87
8.54034   39.3075        22
9.11331   39.2172        19
9.34238   40.1277        62
9.66781   39.9705        97
10.3403   42.7902        49
11.2878   42.7751        41
11.4676   43.1672        90
12.403    43.107        69
12.631   43.9465        83
12.0141   44.0227        37
12.059   44.3641        79
12.2742   44.9772        85
11.8734   45.4077        65
12.2063   45.8067       100
12.0789   46.2805        11
12.6597   45.9563        75
13.2358   46.0635       102
13.6252   45.9441        40
13.7773   45.6496       101
12.3346   45.4372       104
11.4064   45.6349       109
11.1258   46.0664        99
11.2302   46.6559        16
10.2584   46.3234        92
10.4259   45.7796        17
10.6708   45.1693        53
10.9924   45.4385       107
11.8279   44.7668        34
11.3426   44.4938        15
10.936   44.5385        58
10.5941   44.6087        81
10.3281   44.8014        67
10.037   45.2209        29
9.75422   45.7567        13
8.546   45.5843        61
8.34628   45.5554       106
8.20269    44.826         7
8.74503    44.835         2
9.13783   45.0369        68
8.93386   44.4073        39
8.25257   44.2334        89
7.86674   43.9584        42
7.55814   44.4581        31
7.68249   45.0678        96
7.31966   45.7371         4
8.08691    45.567        14
8.3836   46.1156       105
8.75413   45.8397       103
9.14941   45.9395        27
9.41202   45.9005        48
9.27883   45.6395        59
9.18963   45.4642        57
9.49168   45.2613        50
9.66653   44.8476        72
9.69123   44.2384        44
10.0526   44.2131        54
10.4544   44.0178        51
10.4019   43.7159        73
10.8687   43.9741        74
11.0941   43.9357        77
11.2556   43.7698        35
11.7639   43.5171         5
12.4397   42.6539        95
12.4829   41.8933        84
13.0126   41.4595        46
12.516   38.0174        98
