BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.79299    -6.79299           0
           2    -6.79267    -6.79283  0.00011154
           3    -6.79215     -6.7926 0.000200226
           4    -6.79141     -6.7923 0.000298403
           5    -6.79046    -6.79194 0.000406676
           6     -6.7893     -6.7915 0.000524743
           7    -6.78793    -6.79099 0.000652253
           8    -6.78633     -6.7904 0.000788927
           9    -6.78451    -6.78975 0.000934572
          10    -6.78246    -6.78902  0.00108908
          11    -6.78017    -6.78822   0.0012524
          12    -6.77765    -6.78734  0.00142454
          13    -6.77457    -6.78635  0.00161842
          14    -6.77154     -6.7853  0.00181601
          15    -6.76825    -6.78416  0.00201951
          16    -6.76408     -6.7829   0.0022497
          17    -6.75993    -6.78155  0.00249041
          18    -6.75534     -6.7801  0.00274502
          19    -6.75074    -6.77855    0.003004
          20    -6.74553     -6.7769  0.00327636
          21    -6.74013    -6.77515  0.00355761
          22    -6.73408    -6.77328   0.0038546
          23    -6.72813    -6.77132  0.00415696
          24    -6.72105    -6.76922  0.00448052
          25    -6.71372      -6.767  0.00482003
          26    -6.70629    -6.76467  0.00516943
          27    -6.69798     -6.7622   0.0055367
          28    -6.68952     -6.7596  0.00591617
          29     -6.6803    -6.75687  0.00631259
          30    -6.67075      -6.754  0.00672326
          31    -6.66085    -6.75099  0.00714638
          32    -6.65012    -6.74784  0.00758651
          33      -6.639    -6.74454  0.00804169
          34    -6.62731    -6.74109  0.00851236
          35    -6.61548    -6.73751  0.00899397
          36    -6.60304    -6.73377  0.00948804
          37    -6.58968    -6.72988  0.00999894
          38    -6.57567    -6.72582   0.0105272
          39    -6.56084    -6.72159   0.0110746
          40    -6.54502    -6.71717   0.0116442
          41    -6.52881    -6.71258    0.012233
          42    -6.51188     -6.7078   0.0128412
          43    -6.49453    -6.70284   0.0134664
          44    -6.47643     -6.6977   0.0141093
          45    -6.45804    -6.69237   0.0147667
          46    -6.43845    -6.68685    0.015443
          47    -6.41871    -6.68114   0.0161339
          48    -6.39836    -6.67525    0.016839
          49    -6.37713    -6.66917   0.0175601
          50    -6.35472    -6.66288   0.0183005
          51    -6.33189    -6.65639   0.0190577
          52    -6.30838     -6.6497   0.0198316
          53    -6.28359    -6.64279   0.0206254
          54    -6.25893    -6.63568   0.0214334
          55    -6.23322    -6.62836   0.0222578
          56    -6.20741    -6.62085   0.0230948
          57    -6.18171    -6.61314   0.0239402
          58    -6.15434    -6.60523   0.0247999
          59    -6.12733    -6.59713   0.0256683
          60    -6.09968    -6.58884   0.0265458
          61    -6.07205    -6.58037   0.0274292
          62    -6.04375    -6.57171   0.0283195
          63    -6.01514    -6.56288   0.0292154
          64    -5.98736    -6.55389   0.0301111
          65    -5.95924    -6.54474   0.0310065
          66    -5.93102    -6.53544   0.0319006
          67    -5.90291      -6.526   0.0327917
          68    -5.87435    -6.51642   0.0336806
          69    -5.84678    -6.50671   0.0345624
          70    -5.81918    -6.49689   0.0354368
          71    -5.79208    -6.48696   0.0363015
          72    -5.76552    -6.47694   0.0371544
          73    -5.73957    -6.46684   0.0379937
          74     -5.7132    -6.45666   0.0388213
          75    -5.68754     -6.4464    0.039635
          76    -5.66323     -6.4361   0.0404309
          77    -5.63957    -6.42575   0.0412079
          78    -5.61645    -6.41538   0.0419655
          79    -5.59378    -6.40498   0.0427036
          80    -5.57234    -6.39457   0.0434196
          81    -5.55128    -6.38416    0.044114
          82    -5.53125    -6.37376   0.0447855
          83    -5.51228    -6.36338   0.0454327
          84    -5.49397    -6.35303   0.0460557
          85    -5.47605    -6.34271   0.0466552
          86    -5.45992    -6.33245   0.0472284
          87    -5.44531    -6.32225   0.0477737
          88    -5.43119    -6.31212   0.0482919
          89    -5.41864    -6.30208   0.0487817
          90    -5.40678    -6.29214   0.0492435
          91    -5.39607    -6.28229   0.0496771
          92    -5.38728    -6.27256   0.0500806
          93    -5.37921    -6.26295    0.050455
          94    -5.37229    -6.25348   0.0508001
          95    -5.36606    -6.24414    0.051117
          96    -5.36155    -6.23494   0.0514047
          97    -5.35752     -6.2259   0.0516645
          98    -5.35438    -6.21701    0.051897
          99    -5.35224    -6.20827   0.0521027
         100    -5.35117     -6.1997   0.0522819
         101    -5.35128     -6.1913   0.0524348
         102    -5.35234    -6.18307   0.0525618
         103    -5.35413    -6.17503   0.0526641
         104     -5.3561    -6.16715   0.0527431
         105    -5.35895    -6.15946   0.0527994
         106    -5.36153    -6.15193   0.0528352
         107    -5.36572    -6.14458   0.0528499
         108    -5.36979    -6.13741   0.0528452
         109    -5.37442    -6.13041   0.0528219
         110    -5.37877    -6.12357   0.0527818
         111    -5.38309     -6.1169   0.0527262
         112    -5.38822     -6.1104   0.0526553
         113     -5.3932    -6.10405   0.0525705
         114    -5.39768    -6.09785   0.0524732
         115    -5.40208     -6.0918   0.0523646
         116     -5.4062    -6.08589   0.0522456
         117    -5.41032    -6.08012   0.0521172
         118    -5.41397    -6.07447   0.0519804
         119    -5.41819    -6.06896   0.0518353
         120    -5.42191    -6.06357    0.051683
         121    -5.42573    -6.05829    0.051524
         122    -5.42873    -6.05313   0.0513594
         123    -5.43138    -6.04808     0.05119
         124    -5.43413    -6.04313   0.0510161
         125    -5.43699    -6.03828   0.0508379
         126    -5.43967    -6.03353   0.0506559
         127    -5.44203    -6.02887   0.0504707
         128    -5.44424     -6.0243   0.0502827
         129    -5.44616    -6.01982   0.0500922
         130    -5.44795    -6.01542   0.0498997
         131    -5.44933     -6.0111   0.0497055
         132    -5.45107    -6.00686   0.0495097
         133    -5.45213    -6.00269   0.0493128
         134    -5.45417    -5.99859   0.0491144
         135    -5.45571    -5.99457   0.0489149
         136    -5.45675    -5.99062   0.0487149
         137     -5.4576    -5.98673   0.0485144
         138    -5.45902     -5.9829   0.0483133
         139    -5.45996    -5.97914    0.048112
         140    -5.46087    -5.97544   0.0479106
         141    -5.46252     -5.9718   0.0477087
         142    -5.46384    -5.96822   0.0475066
         143    -5.46468     -5.9647   0.0473047
         144     -5.4661    -5.96124   0.0471028
         145    -5.46748    -5.95784   0.0469009
         146    -5.46838    -5.95448   0.0466993
         147    -5.46955    -5.95118    0.046498
         148    -5.47037    -5.94794   0.0462971
         149    -5.47099    -5.94473   0.0460969
         150    -5.47172    -5.94158   0.0458974
         151    -5.47271    -5.93848   0.0456983
         152    -5.47349    -5.93542      0.0455
         153    -5.47423     -5.9324   0.0453023
         154    -5.47538    -5.92943   0.0451052
         155    -5.47619    -5.92651   0.0449089
         156    -5.47667    -5.92363   0.0447135
         157    -5.47697    -5.92078   0.0445191
         158    -5.47757    -5.91798   0.0443257
