X         Y  city_id
13.5747   37.3123         1
12.516   38.0174        98
7.68249   45.0678        96
9.13783   45.0369        68
9.18963   45.4642        57
12.8859   42.4147        82
12.4397   42.6539        95
12.2742   44.9772        85
12.631   43.9465        83
13.2358   46.0635       102
7.86674   43.9584        42
7.31966   45.7371         4
7.55814   44.4581        31
9.66781   39.9705        97
11.2556   43.7698        35
10.9924   45.4385       107
13.3524   38.1112        66
10.936   44.5385        58
11.0941   43.9357        77
10.4259   45.7796        17
11.4676   43.1672        90
9.14941   45.9395        27
9.27883   45.6395        59
10.4544   44.0178        51
13.0126   41.4595        46
8.34628   45.5554       106
11.2302   46.6559        16
15.2907   37.0646        91
15.4529   41.5028        36
12.7014   43.6941        70
8.08691    45.567        14
11.1258   46.0664        99
8.54034   39.3075        22
11.2878   42.7751        41
15.5542   38.1938        56
13.7773   45.6496       101
14.7057   41.2476        12
10.6708   45.1693        53
12.0141   44.0227        37
8.92197   40.7778        88
13.6103   42.1369        45
13.9576   42.3103        71
11.4064   45.6349       109
11.3426   44.4938        15
13.6252   45.9441        40
15.8216   40.5173        76
9.75422   45.7567        13
12.6597   45.9563        75
17.0806   40.5488        93
8.93386   44.4073        39
8.3836   46.1156       105
10.037   45.2209        29
8.67964   40.0266        64
8.20269    44.826         7
15.3106   40.4194        86
8.74503    44.835         2
11.9488    42.493       110
8.25257   44.2334        89
8.75413   45.8397       103
16.4316     38.83        25
13.6388   43.0922        33
10.3403   42.7902        49
9.66653   44.8476        72
12.2063   45.8067       100
13.1509    43.153        52
10.0526   44.2131        54
10.5941   44.6087        81
12.0789   46.2805        11
9.69123   44.2384        44
15.6398   38.1035        80
18.2261   40.1522        47
12.3346   45.4372       104
15.0874   37.5024        24
14.2081   41.6495        43
12.403    43.107        69
11.8734   45.4077        65
16.4736   40.4476        55
14.8262   41.7173        21
13.5758   41.6285        38
12.4829   41.8933        84
9.50674   40.9253        63
10.3281   44.8014        67
10.2584   46.3234        92
9.11331   39.2172        19
12.059   44.3641        79
13.5396   42.8834         6
14.2488   40.8359        60
14.1169   41.2035        23
11.7639   43.5171         5
15.1406   40.9965         8
9.34238   40.1277        62
14.4159   42.1027        26
17.6884   40.6359        18
13.6979   42.6581        94
16.862   41.1258         9
16.3331   39.5967        28
8.76505   39.4937        87
13.2188   43.4801         3
9.41202   45.9005        48
10.8687   43.9741        74
10.4019   43.7159        73
16.1466   41.1802        10
16.0987   38.6267       108
14.2807   37.5668        32
14.0632   37.4899        20
16.8783   39.1874        30
14.7213    36.922        78
8.546   45.5843        61
9.49168   45.2613        50
11.8279   44.7668        34
